order_id,order_date,category,region,sales,quantity,discount,lead_time,cost,profit,current_stock,safety_stock,restock_needed,inventory_turnover_proxy,risk_score
ORD-1030,2023-02-28,Electronics,Central,4156.56,12,0.3,9,2883.240685344517,26.35131465548352,81,14,No,50.69,-18.0
ORD-1031,2023-06-19,Electronics,Central,3959.79,14,0.0,10,2164.943819853825,1794.8461801461744,73,15,No,53.51,-14.899999999999999
ORD-1032,2023-07-07,Office Supplies,East,3159.68,5,0.0,9,2098.3864712903883,1061.2935287096116,62,14,No,50.15,-12.299999999999997
ORD-1033,2023-09-28,Technology,West,2522.96,11,0.0,2,1327.6672078543118,1195.2927921456885,48,3,No,51.49,-12.999999999999998
ORD-1034,2023-07-09,Technology,East,4899.8,5,0.0,4,3004.601228100469,1895.198771899531,78,6,No,62.02,-20.599999999999998
ORD-1035,2023-06-24,Office Supplies,North,810.33,11,0.0,7,505.6904549969588,304.63954500304123,60,11,No,13.28,-13.100000000000001
ORD-1036,2023-02-20,Office Supplies,Central,3653.26,12,0.1,2,1870.2624617808783,1417.6715382191217,47,3,No,76.11,-12.7
ORD-1037,2023-12-30,Electronics,East,1036.83,1,0.2,1,603.6387243520352,225.8252756479648,93,2,No,11.03,-27.2
ORD-1038,2023-02-24,Technology,East,1757.49,6,0.0,3,1382.6083146678548,374.88168533214525,38,5,No,45.06,-9.3
ORD-1039,2023-09-01,Furniture,North,1612.62,1,0.0,4,1267.664104811494,344.9558951885058,34,6,No,46.07,-7.3999999999999995
ORD-1040,2023-11-16,Electronics,South,4740.48,5,0.3,8,2871.299806242923,447.03619375707694,75,12,No,62.37,-16.9
ORD-1041,2023-05-11,Office Supplies,West,4840.05,9,0.1,6,2482.607004694601,1873.437995305399,74,9,No,64.53,-18.0
ORD-1042,2023-11-03,Technology,South,996.78,12,0.1,11,551.9454760870634,345.15652391293656,59,17,No,16.61,-10.0
ORD-1043,2023-05-15,Furniture,Central,207.97,14,0.2,2,128.455860350112,37.92013964988799,71,3,No,2.89,-19.900000000000002
ORD-1044,2023-01-21,Furniture,East,3628.04,5,0.1,9,2845.5947966260856,419.6412033739144,17,14,No,201.56,1.2000000000000002
ORD-1045,2023-11-25,Electronics,North,2148.15,6,0.3,2,1165.070030501221,338.634969498779,7,3,No,268.52,-0.7000000000000002
ORD-1046,2023-06-16,Technology,North,535.32,8,0.3,5,390.27759042974026,-15.553590429740211,30,8,No,17.27,-5.5
ORD-1047,2023-10-01,Technology,West,3450.4,11,0.2,4,1837.699470157532,922.6205298424684,61,6,No,55.65,-15.5
ORD-1048,2023-03-30,Office Supplies,South,2771.02,1,0.3,7,2201.2353116308327,-261.52131163083266,28,11,No,95.55,-3.500000000000001
ORD-1049,2023-11-12,Technology,West,4904.53,14,0.0,8,3013.759870512717,1890.7701294872825,57,12,No,84.56,-11.499999999999998
ORD-1050,2023-01-14,Technology,East,1214.31,2,0.0,5,889.5675158791538,324.74248412084614,74,8,No,16.19,-18.7
ORD-1051,2023-08-30,Electronics,West,2079.49,9,0.3,10,1253.469419238476,202.1735807615238,47,15,No,43.32,-7.1
ORD-1052,2023-09-22,Technology,North,2758.47,3,0.2,5,1898.6567302728772,308.1192697271224,64,8,No,42.44,-15.7
ORD-1053,2023-12-12,Furniture,North,3979.33,6,0.1,2,2218.893609946572,1362.5033900534286,62,3,No,63.16,-17.2
ORD-1054,2023-02-22,Electronics,Central,2789.31,5,0.2,8,1516.844366800563,714.603633199437,53,12,No,51.65,-10.299999999999999
ORD-1055,2023-12-06,Electronics,Central,3103.21,11,0.1,2,2424.9080055647664,367.9809944352336,46,3,No,66.03,-12.399999999999999
ORD-1056,2023-04-02,Office Supplies,East,1208.12,2,0.3,10,936.6484088145712,-90.9644088145713,80,15,No,14.92,-17.0
ORD-1057,2023-09-21,Technology,South,4249.9,14,0.3,6,3256.4462747032185,-281.51627470321864,70,9,No,59.86,-16.8
ORD-1058,2023-02-04,Office Supplies,West,2200.29,7,0.0,8,1512.9854898201163,687.3045101798837,15,12,No,137.52,1.0999999999999996
ORD-1059,2023-07-25,Furniture,East,790.7,4,0.1,6,587.0793023826134,124.55069761738666,94,9,No,8.32,-24.0
ORD-1060,2023-03-22,Electronics,Central,3354.52,1,0.2,4,1746.7357356823836,936.8802643176164,22,6,No,145.85,-3.8
ORD-1061,2023-02-19,Electronics,West,1158.84,13,0.3,4,695.8100799913784,115.37792000862152,89,6,No,12.88,-23.9
ORD-1062,2023-12-26,Electronics,Central,578.06,4,0.2,6,343.4317684891365,119.01623151086343,56,9,No,10.14,-12.600000000000001
ORD-1063,2023-01-02,Furniture,West,4323.74,6,0.0,4,2986.3795313018177,1337.360468698182,50,6,No,84.78,-12.2
ORD-1064,2023-02-23,Furniture,South,2354.8,7,0.1,8,1428.8628094905994,690.4571905094008,48,12,No,48.06,-8.799999999999999
ORD-1065,2023-04-16,Office Supplies,East,3771.49,7,0.1,9,2053.7725525703977,1340.5684474296022,26,14,No,139.68,-1.5
ORD-1066,2023-09-17,Office Supplies,West,1523.88,14,0.3,1,1034.6232740643577,32.09272593564259,57,2,No,26.27,-16.4
ORD-1067,2023-11-06,Office Supplies,North,3956.15,7,0.1,4,2944.6224843264963,615.9125156735038,63,6,No,61.81,-16.099999999999998
ORD-1068,2023-07-10,Technology,North,648.49,3,0.3,4,398.5859794767044,55.35702052329563,98,6,No,6.55,-26.599999999999998
ORD-1069,2023-08-06,Electronics,West,1844.27,6,0.0,2,995.316766958403,848.953233041597,34,3,No,52.69,-8.799999999999999
ORD-1070,2023-02-13,Electronics,West,4892.5,13,0.1,6,2734.939101605896,1668.3108983941038,12,9,No,376.35,0.5999999999999996
ORD-1071,2023-06-11,Office Supplies,West,3990.55,8,0.3,3,2279.5817010331057,513.8032989668945,61,5,No,64.36,-16.200000000000003
ORD-1072,2023-07-21,Electronics,North,2536.55,4,0.2,7,1496.4865718530873,532.7534281469128,77,11,No,32.52,-18.2
ORD-1073,2023-09-27,Office Supplies,North,1764.91,13,0.3,11,1222.7976343661871,12.639365633812986,24,17,No,70.6,0.5
ORD-1074,2023-12-17,Technology,West,4373.46,8,0.1,11,2975.1933116418995,960.9206883581004,29,17,No,145.78,-1.0
ORD-1075,2023-10-31,Technology,Central,2769.75,2,0.0,5,1963.265158972592,806.4848410274078,23,8,No,115.41,-3.3999999999999995
ORD-1076,2023-09-28,Furniture,Central,3816.28,10,0.1,4,2323.1627220583773,1111.4892779416227,9,6,No,381.63,0.10000000000000009
ORD-1077,2023-08-03,Technology,South,3795.13,9,0.1,5,2835.718462573779,579.898537426221,79,8,No,47.44,-20.2
ORD-1078,2023-09-09,Office Supplies,East,187.93,9,0.3,8,105.4712582483006,26.079741751699395,83,12,No,2.24,-19.299999999999997
ORD-1079,2023-07-09,Technology,Central,718.64,8,0.2,3,460.4414328389338,114.4705671610662,76,5,No,9.33,-20.700000000000003
ORD-1080,2023-10-23,Furniture,North,3332.18,10,0.1,7,2466.7515967437766,532.2104032562231,87,11,No,37.87,-21.2
ORD-1081,2023-08-01,Electronics,Central,891.94,14,0.2,6,494.1772112775898,219.37478872241024,91,9,No,9.7,-23.1
ORD-1082,2023-07-27,Office Supplies,South,1351.92,13,0.3,1,720.5178422185319,225.82615778146817,31,2,No,42.25,-8.6
ORD-1083,2023-08-25,Electronics,South,4738.53,10,0.2,7,3625.473897422571,165.35010257742863,44,11,No,105.3,-8.3
ORD-1084,2023-12-04,Furniture,East,2844.89,1,0.3,7,1715.1241504861027,276.29884951389715,30,11,No,91.77,-4.1000000000000005
ORD-1085,2023-02-22,Furniture,Central,3778.57,2,0.0,1,2664.5003413632567,1114.0696586367435,31,2,No,118.08,-8.6
ORD-1086,2023-10-07,Furniture,North,2834.11,6,0.2,9,1438.607219849141,828.680780150859,66,14,No,42.3,-13.5
ORD-1087,2023-08-05,Electronics,North,2807.32,10,0.2,6,1984.8147292308847,261.04127076911493,87,9,No,31.9,-21.9
ORD-1088,2023-09-09,Electronics,West,561.34,5,0.0,2,333.90209306713297,227.4379069328671,54,3,No,10.21,-14.799999999999999
ORD-1089,2023-07-07,Electronics,North,1783.95,12,0.2,5,921.8066687271952,505.35333127280495,46,8,No,37.96,-10.299999999999999
ORD-1090,2023-02-10,Electronics,East,1483.91,14,0.0,11,1013.42717649666,470.4828235033401,33,17,No,43.64,-2.200000000000001
ORD-1091,2023-06-06,Furniture,East,2014.57,9,0.1,4,1152.8198431239598,660.2931568760401,43,6,No,45.79,-10.100000000000001
ORD-1092,2023-01-15,Furniture,North,4011.89,5,0.3,7,2471.4934318946557,336.8295681053446,64,11,No,61.72,-14.3
ORD-1093,2023-10-28,Office Supplies,North,1922.47,2,0.0,8,1007.7092582589362,914.7607417410638,45,12,No,41.79,-7.9
ORD-1094,2023-03-06,Office Supplies,West,2313.31,10,0.2,11,1258.7852661171344,591.8627338828655,37,17,No,60.88,-3.4000000000000004
ORD-1095,2023-12-11,Electronics,North,2047.17,4,0.0,11,1206.5880171570082,840.5819828429919,87,17,No,23.26,-18.4
ORD-1096,2023-11-23,Technology,West,557.7,9,0.2,1,293.8676620387199,152.2923379612801,87,2,No,6.34,-25.4
ORD-1097,2023-01-09,Technology,West,2261.25,1,0.1,5,1748.5067673065791,286.61823269342085,20,8,No,107.68,-2.5
ORD-1098,2023-12-10,Furniture,North,1058.49,11,0.0,3,531.1652204219428,527.3247795780572,27,5,No,37.8,-6.0
ORD-1099,2023-05-09,Furniture,South,1014.94,1,0.1,1,654.7967271602433,258.6492728397567,11,2,No,84.58,-2.5999999999999996
ORD-1100,2023-05-16,Furniture,South,560.78,12,0.3,3,301.1244128714717,91.4215871285283,30,5,No,18.09,-6.9
ORD-1101,2023-03-04,Office Supplies,West,1847.69,7,0.2,6,1094.3936730512532,383.7583269487468,16,9,No,108.69,-0.6000000000000005
ORD-1102,2023-05-19,Office Supplies,North,3811.66,11,0.2,7,2964.777254533067,84.55074546693265,76,11,No,49.5,-17.900000000000002
ORD-1103,2023-03-22,Furniture,South,1454.56,3,0.1,8,797.8383288230631,511.2656711769369,9,12,Yes,145.46,2.9
ORD-1104,2023-06-12,Furniture,North,1630.51,10,0.3,11,1287.6947766871815,-146.33777668718147,96,17,No,16.81,-21.099999999999998
ORD-1105,2023-10-16,Furniture,North,3249.11,2,0.0,4,1825.14957046603,1423.96042953397,73,6,No,43.91,-19.099999999999998
ORD-1106,2023-09-18,Technology,North,1059.62,9,0.0,3,765.5434839560866,294.07651604391333,53,5,No,19.62,-13.799999999999999
ORD-1107,2023-08-19,Office Supplies,Central,4495.09,3,0.2,5,2984.754052000177,611.317947999823,30,8,No,145.0,-5.5
ORD-1108,2023-02-10,Technology,North,2648.93,2,0.1,9,2027.3416707678653,356.6953292321346,9,14,Yes,264.89,3.6
ORD-1109,2023-01-28,Technology,Central,2293.25,12,0.1,6,1527.7585099547664,536.1664900452336,26,9,No,84.94,-3.6000000000000005
ORD-1110,2023-05-15,Furniture,West,2833.32,8,0.0,9,1871.033198045986,962.2868019540142,83,14,No,33.73,-18.599999999999998
ORD-1111,2023-07-20,Furniture,South,913.57,10,0.3,6,510.3543696189678,129.14463038103224,17,9,No,50.75,-0.9000000000000004
ORD-1112,2023-11-24,Electronics,South,3106.02,6,0.3,2,1707.903516935908,466.3104830640922,32,3,No,94.12,-8.2
ORD-1113,2023-09-25,Electronics,South,1879.19,6,0.0,5,1456.2721743654292,422.9178256345708,37,8,No,49.45,-7.6
ORD-1114,2023-02-02,Technology,South,4496.21,10,0.0,11,2690.3138164154534,1805.8961835845464,27,17,No,160.58,-0.40000000000000036
ORD-1115,2023-02-17,Office Supplies,South,927.39,11,0.1,9,567.214608729012,267.436391270988,22,14,No,40.32,-0.2999999999999998
ORD-1116,2023-03-03,Furniture,South,2584.55,7,0.3,8,1881.4156709173276,-72.23067091732719,34,12,No,73.84,-4.6
ORD-1117,2023-08-04,Furniture,South,3030.75,7,0.0,7,1823.4417808058768,1207.3082191941228,30,11,No,97.77,-4.1000000000000005
ORD-1118,2023-10-20,Technology,West,263.58,11,0.0,1,207.0733859055325,56.506614094467466,20,2,No,12.55,-5.3
ORD-1119,2023-04-09,Electronics,North,1882.1,13,0.2,4,1357.7061562097929,147.97384379020724,81,6,No,22.95,-21.5
ORD-1120,2023-06-21,Office Supplies,East,3689.91,6,0.0,7,2506.2930409392266,1183.6169590607733,43,11,No,83.86,-8.0
ORD-1121,2023-12-26,Electronics,Central,4119.85,4,0.0,11,3148.6717781510897,971.1782218489108,37,17,No,108.42,-3.4000000000000004
ORD-1122,2023-08-02,Electronics,East,1634.49,11,0.3,7,841.5691083414438,302.57389165855625,30,11,No,52.73,-4.1000000000000005
ORD-1123,2023-02-04,Electronics,East,4013.11,9,0.1,6,2316.0412581954306,1295.7577418045694,52,9,No,75.72,-11.4
ORD-1124,2023-08-15,Electronics,North,4842.0,6,0.3,8,3096.5117790892937,292.8882209107064,69,12,No,69.17,-15.1
ORD-1125,2023-04-11,Furniture,North,4298.68,4,0.1,11,2442.052432416632,1426.7595675833686,42,17,No,99.97,-4.9
ORD-1126,2023-05-11,Furniture,North,676.46,12,0.2,6,489.1966309007241,51.971369099275904,6,9,Yes,96.64,2.3999999999999995
ORD-1127,2023-09-14,Electronics,South,3724.68,3,0.0,10,2889.4667307315567,835.2132692684431,10,15,Yes,338.61,4.0
ORD-1128,2023-01-05,Office Supplies,West,1666.37,4,0.2,3,1045.0323444247877,288.06365557521224,50,5,No,32.67,-12.9
ORD-1129,2023-08-06,Technology,South,4943.24,3,0.1,4,2978.9930662531374,1469.9229337468623,54,6,No,89.88,-13.399999999999999
ORD-1130,2023-09-12,Office Supplies,West,2478.26,2,0.3,3,1954.0218152281736,-219.2398152281737,42,5,No,57.63,-10.5
ORD-1131,2023-12-25,Office Supplies,West,699.93,14,0.3,1,443.3746689926942,46.57633100730578,92,2,No,7.53,-26.9
ORD-1132,2023-10-10,Office Supplies,East,3653.41,5,0.2,10,2362.713295005625,560.014704994375,22,15,No,158.84,0.40000000000000036
ORD-1133,2023-07-26,Electronics,East,1682.75,2,0.1,5,1018.8966468050024,495.5783531949976,31,8,No,52.59,-5.799999999999999
ORD-1134,2023-01-15,Furniture,West,4985.68,6,0.2,1,3853.255289278148,135.28871072185245,45,2,No,108.38,-12.8
ORD-1135,2023-12-12,Office Supplies,West,4900.93,3,0.2,1,3286.9882990041565,633.7557009958437,76,2,No,63.65,-22.1
ORD-1136,2023-02-11,Electronics,South,3315.06,6,0.0,2,2415.526346094715,899.5336539052851,96,3,No,34.18,-27.4
ORD-1137,2023-06-28,Office Supplies,South,736.15,11,0.2,4,547.3584547142015,41.56154528579853,78,6,No,9.32,-20.599999999999998
ORD-1138,2023-03-04,Office Supplies,East,3465.62,10,0.0,6,2088.2256629947865,1377.3943370052134,21,9,No,157.53,-2.1000000000000005
ORD-1139,2023-12-18,Electronics,North,555.85,9,0.0,8,350.24569821933,205.60430178067003,66,12,No,8.3,-14.200000000000001
ORD-1140,2023-08-19,Furniture,West,243.88,1,0.3,3,184.01758890265992,-13.30158890265993,33,5,No,7.17,-7.800000000000001
ORD-1141,2023-08-29,Furniture,South,4132.5,6,0.0,1,2516.595822240086,1615.904177759914,62,2,No,65.6,-17.9
ORD-1142,2023-02-21,Technology,East,1127.79,9,0.0,3,832.512631246699,295.27736875330095,74,5,No,15.04,-20.1
ORD-1143,2023-04-06,Electronics,South,1957.23,11,0.3,3,1531.13652105371,-161.07552105370985,82,5,No,23.58,-22.5
ORD-1144,2023-08-10,Technology,West,4869.94,4,0.2,5,3345.469137265643,550.4828627343567,26,8,No,180.37,-4.3
ORD-1145,2023-08-19,Technology,West,1750.52,11,0.1,11,1264.7300197690845,310.7379802309157,10,17,Yes,159.14,4.699999999999999
ORD-1146,2023-08-25,Technology,Central,1552.8,12,0.1,4,1151.4465318412422,246.07346815875775,30,6,No,50.09,-6.2
ORD-1147,2023-05-23,Furniture,North,4599.22,2,0.1,4,3465.566976199525,673.7310238004752,43,6,No,104.53,-10.100000000000001
ORD-1148,2023-06-20,Electronics,Central,642.67,13,0.2,9,397.5016785921281,116.63432140787188,16,14,No,37.8,1.5
ORD-1149,2023-01-29,Technology,East,3821.95,4,0.0,7,1969.752913339312,1852.197086660688,18,11,No,201.16,-0.5
ORD-1150,2023-02-05,Electronics,South,4941.52,1,0.1,4,3066.523889552532,1380.8441104474682,26,6,No,183.02,-5.0
ORD-1151,2023-01-13,Electronics,East,4516.35,3,0.2,3,3171.0506845156124,442.0293154843879,55,5,No,80.65,-14.4
ORD-1152,2023-06-09,Furniture,West,3293.17,10,0.0,6,2091.5091139825204,1201.6608860174797,27,9,No,117.61,-3.9000000000000004
ORD-1153,2023-11-23,Technology,Central,1638.9,9,0.3,3,1187.692712383532,-40.46271238353205,52,5,No,30.92,-13.5
ORD-1154,2023-07-06,Technology,Central,1346.18,10,0.1,6,817.258782070638,394.30321792936206,75,9,No,17.71,-18.3
ORD-1155,2023-08-31,Electronics,Central,4114.35,5,0.0,11,2840.6428670854093,1273.707132914591,54,17,No,74.81,-8.5
ORD-1156,2023-03-27,Office Supplies,East,4411.13,11,0.1,11,2452.261598135654,1517.755401864346,93,17,No,46.93,-20.2
ORD-1157,2023-10-11,Furniture,West,2674.63,6,0.1,9,1938.6007929001105,468.5662070998896,17,14,No,148.59,1.2000000000000002
ORD-1158,2023-03-07,Furniture,South,1297.27,3,0.1,6,861.0095028386222,306.5334971613778,89,9,No,14.41,-22.5
ORD-1159,2023-06-19,Furniture,South,653.42,5,0.0,4,366.7119258292359,286.70807417076406,14,6,No,43.56,-1.4000000000000004
ORD-1160,2023-02-14,Furniture,East,527.18,11,0.2,5,309.75691973337223,111.98708026662771,59,8,No,8.79,-14.2
ORD-1161,2023-03-03,Technology,Central,3623.48,8,0.0,6,2625.5106050116297,997.9693949883704,13,9,No,258.82,0.2999999999999994
ORD-1162,2023-05-14,Technology,North,2158.58,6,0.1,11,1391.8100125822737,550.9119874177263,83,17,No,25.7,-17.2
ORD-1163,2023-10-11,Office Supplies,East,4536.26,4,0.0,3,2562.1224345392434,1974.1375654607568,56,5,No,79.58,-14.700000000000001
ORD-1164,2023-01-28,Furniture,East,3724.39,2,0.3,8,2942.94354461097,-335.8705446109702,6,12,Yes,532.06,3.8
ORD-1165,2023-04-18,Furniture,West,1037.18,14,0.2,4,741.104010416104,88.63998958389607,29,6,No,34.57,-5.8999999999999995
ORD-1166,2023-02-13,Electronics,South,3107.51,9,0.0,8,2446.046819039723,661.4631809602774,17,12,No,172.64,0.5
ORD-1167,2023-12-06,Technology,East,2233.98,13,0.3,10,1403.2332387702295,160.55276122977034,55,15,No,39.89,-9.5
ORD-1168,2023-10-13,Furniture,East,2928.52,12,0.2,10,1881.6622549167555,461.15374508324464,62,15,No,46.48,-11.599999999999998
ORD-1169,2023-11-27,Office Supplies,Central,3716.54,1,0.3,3,2859.4559437480816,-257.87794374808163,38,5,No,95.3,-9.3
ORD-1170,2023-05-08,Office Supplies,Central,4050.36,1,0.2,10,2663.171653726889,577.116346273111,39,15,No,101.26,-4.699999999999999
ORD-1171,2023-12-14,Technology,North,4234.31,13,0.0,7,3015.606450841386,1218.7035491586144,7,11,Yes,529.29,2.7999999999999994
ORD-1172,2023-08-19,Office Supplies,West,1344.48,4,0.3,11,773.9524171005571,167.1835828994429,63,17,No,21.01,-11.2
ORD-1173,2023-07-09,Office Supplies,North,252.47,7,0.1,9,160.0705094660067,67.15249053399329,74,14,No,3.37,-15.899999999999999
ORD-1174,2023-08-13,Technology,Central,3722.54,1,0.3,4,1999.134119042104,606.6438809578963,52,6,No,70.24,-12.8
ORD-1175,2023-10-10,Furniture,South,621.08,9,0.2,8,348.91902420473906,147.94497579526097,68,12,No,9.0,-14.799999999999999
ORD-1176,2023-05-01,Furniture,Central,1643.11,4,0.0,3,822.0200405181191,821.0899594818808,23,5,No,68.46,-4.8
ORD-1177,2023-04-26,Office Supplies,West,118.7,3,0.2,7,60.7482284892088,34.2117715107912,71,11,No,1.65,-16.400000000000002
ORD-1178,2023-08-21,Office Supplies,Central,3440.18,1,0.3,3,2728.699678845043,-320.5736788450429,86,5,No,39.54,-23.700000000000003
ORD-1179,2023-09-16,Furniture,West,918.95,10,0.3,7,526.2882784437783,116.97672155622178,77,11,No,11.78,-18.2
ORD-1180,2023-12-25,Technology,West,3310.88,4,0.1,11,2314.282648564784,665.5093514352168,80,17,No,40.88,-16.3
ORD-1181,2023-07-17,Office Supplies,West,4959.54,9,0.0,10,3728.234556055388,1231.3054439446123,9,15,Yes,495.95,4.300000000000001
ORD-1182,2023-05-17,Electronics,West,456.09,13,0.0,10,303.39021865596135,152.69978134403863,71,15,No,6.33,-14.3
ORD-1183,2023-11-14,Technology,West,477.68,14,0.3,11,260.7862194400313,73.58978055996872,15,17,Yes,29.86,3.1999999999999993
ORD-1184,2023-06-14,Office Supplies,South,1767.86,10,0.0,11,1270.0923774727346,497.7676225272653,98,17,No,17.86,-21.7
ORD-1185,2023-08-13,Office Supplies,North,4345.29,6,0.1,6,2955.124934937485,955.6360650625148,72,9,No,59.52,-17.4
ORD-1186,2023-11-03,Electronics,East,1156.1,6,0.2,2,831.6696419033501,93.2103580966498,73,3,No,15.62,-20.5
ORD-1187,2023-08-22,Electronics,North,1865.85,1,0.0,11,1363.794520877369,502.0554791226309,5,17,Yes,310.97,6.199999999999999
ORD-1188,2023-06-21,Furniture,West,435.68,10,0.3,3,345.33003669786694,-40.35403669786695,95,5,No,4.54,-26.4
ORD-1189,2023-06-01,Technology,South,3839.46,2,0.2,6,2580.3819813394057,491.1860186605943,96,9,No,39.58,-24.599999999999998
ORD-1190,2023-11-11,Technology,Central,2100.7,11,0.2,4,1265.6556456287442,414.9043543712557,67,6,No,30.89,-17.299999999999997
ORD-1191,2023-06-09,Furniture,South,3820.32,6,0.1,6,2653.3626348051343,784.9253651948658,33,9,No,112.36,-5.700000000000001
ORD-1192,2023-04-06,Technology,West,4527.68,2,0.3,1,2356.803289127096,812.5727108729043,86,2,No,52.04,-25.1
ORD-1193,2023-08-21,Technology,South,1240.54,3,0.0,10,954.2471807811984,286.2928192188017,16,15,No,72.97,2.2
ORD-1194,2023-06-29,Technology,South,4056.24,4,0.3,1,2173.3914100291345,665.9765899708655,81,2,No,49.47,-23.6
ORD-1195,2023-04-23,Technology,West,389.56,11,0.2,3,233.0943367780398,78.55366322196019,45,5,No,8.47,-11.4
ORD-1196,2023-11-14,Technology,South,4504.35,5,0.3,8,3354.4958115669806,-201.4508115669803,6,12,Yes,643.48,3.8
ORD-1197,2023-02-21,Electronics,East,3288.77,9,0.0,8,2233.7119091448085,1055.0580908551915,41,12,No,78.3,-6.699999999999999
ORD-1198,2023-09-25,Technology,East,4383.71,12,0.0,11,2709.530189978628,1674.1798100213723,49,17,No,87.67,-7.0
ORD-1199,2023-10-22,Electronics,South,100.92,4,0.1,4,64.79373802323815,26.03426197676185,84,6,No,1.19,-22.4
ORD-1200,2023-04-23,Technology,Central,928.5,13,0.0,6,702.2841763764674,226.21582362353263,52,9,No,17.52,-11.4
ORD-1201,2023-04-11,Furniture,West,2009.82,11,0.0,8,1209.9142845572678,799.9057154427321,28,12,No,69.3,-2.8000000000000007
ORD-1202,2023-04-23,Office Supplies,East,1959.56,9,0.3,7,1491.0192209111617,-119.32722091116148,26,11,No,72.58,-2.9000000000000004
ORD-1203,2023-03-22,Electronics,Central,1210.98,11,0.3,11,637.5087099672462,210.17729003275383,15,17,Yes,75.69,3.1999999999999993
